"SCHOOL_DISTRICT_NUMBER","year","month","SCHOOL_DISTRICT_NAME","burned_ha_50km","fire_count_50km"
10,2020,5,"Arrow Lakes",0,0
10,2020,6,"Arrow Lakes",0,0
10,2020,7,"Arrow Lakes",1111,1
10,2020,8,"Arrow Lakes",1335,11
10,2020,9,"Arrow Lakes",0,0
10,2021,5,"Arrow Lakes",6,1
10,2021,6,"Arrow Lakes",1105,3
10,2021,7,"Arrow Lakes",71830,40
10,2021,8,"Arrow Lakes",295,8
10,2021,9,"Arrow Lakes",0,0
10,2022,5,"Arrow Lakes",0,0
10,2022,6,"Arrow Lakes",69,1
10,2022,7,"Arrow Lakes",2192,10
10,2022,8,"Arrow Lakes",3796,29
10,2022,9,"Arrow Lakes",755,7
10,2023,5,"Arrow Lakes",28,3
10,2023,6,"Arrow Lakes",0,0
10,2023,7,"Arrow Lakes",8157,21
10,2023,8,"Arrow Lakes",1458,16
10,2023,9,"Arrow Lakes",0,0
10,2024,5,"Arrow Lakes",0,0
10,2024,6,"Arrow Lakes",4,1
10,2024,7,"Arrow Lakes",37800,46
10,2024,8,"Arrow Lakes",230,12
10,2024,9,"Arrow Lakes",3,2
19,2017,5,"Revelstoke",0,0
19,2017,6,"Revelstoke",2818,3
19,2017,7,"Revelstoke",3370,21
19,2017,8,"Revelstoke",270,7
19,2017,9,"Revelstoke",1,1
19,2018,5,"Revelstoke",6,2
19,2018,6,"Revelstoke",34,2
19,2018,7,"Revelstoke",6295,39
19,2018,8,"Revelstoke",17508,57
19,2018,9,"Revelstoke",0,0
19,2019,5,"Revelstoke",0,0
19,2019,6,"Revelstoke",0,0
19,2019,7,"Revelstoke",0,0
19,2019,8,"Revelstoke",0,0
19,2019,9,"Revelstoke",5,1
19,2020,5,"Revelstoke",0,0
19,2020,6,"Revelstoke",0,0
19,2020,7,"Revelstoke",0,0
19,2020,8,"Revelstoke",143,10
19,2020,9,"Revelstoke",0,0
19,2021,5,"Revelstoke",0,0
19,2021,6,"Revelstoke",4,1
19,2021,7,"Revelstoke",45769,64
19,2021,8,"Revelstoke",392,10
19,2021,9,"Revelstoke",0,0
19,2022,5,"Revelstoke",0,0
19,2022,6,"Revelstoke",69,1
19,2022,7,"Revelstoke",281,5
19,2022,8,"Revelstoke",1796,29
19,2022,9,"Revelstoke",447,6
19,2023,5,"Revelstoke",2792,8
19,2023,6,"Revelstoke",0,0
19,2023,7,"Revelstoke",8041,29
19,2023,8,"Revelstoke",534,10
19,2023,9,"Revelstoke",3,1
19,2024,5,"Revelstoke",0,0
19,2024,6,"Revelstoke",493,2
19,2024,7,"Revelstoke",11035,55
19,2024,8,"Revelstoke",362,13
19,2024,9,"Revelstoke",0,0
20,2017,5,"Kootenay-Columbia",2,1
20,2017,6,"Kootenay-Columbia",36,3
20,2017,7,"Kootenay-Columbia",2359,5
20,2017,8,"Kootenay-Columbia",2638,6
20,2017,9,"Kootenay-Columbia",0,0
20,2018,5,"Kootenay-Columbia",1,1
20,2018,6,"Kootenay-Columbia",0,0
20,2018,7,"Kootenay-Columbia",9077,10
20,2018,8,"Kootenay-Columbia",11881,21
20,2018,9,"Kootenay-Columbia",4,2
20,2019,5,"Kootenay-Columbia",0,0
20,2019,6,"Kootenay-Columbia",0,0
20,2019,7,"Kootenay-Columbia",0,0
20,2019,8,"Kootenay-Columbia",1,1
20,2019,9,"Kootenay-Columbia",0,0
20,2020,5,"Kootenay-Columbia",0,0
20,2020,6,"Kootenay-Columbia",0,0
20,2020,7,"Kootenay-Columbia",0,0
20,2020,8,"Kootenay-Columbia",1247,4
20,2020,9,"Kootenay-Columbia",0,0
20,2021,5,"Kootenay-Columbia",7,2
20,2021,6,"Kootenay-Columbia",1060,2
20,2021,7,"Kootenay-Columbia",58186,16
20,2021,8,"Kootenay-Columbia",237,3
20,2021,9,"Kootenay-Columbia",0,0
20,2022,5,"Kootenay-Columbia",0,0
20,2022,6,"Kootenay-Columbia",0,0
20,2022,7,"Kootenay-Columbia",5,4
20,2022,8,"Kootenay-Columbia",2140,12
20,2022,9,"Kootenay-Columbia",39,1
20,2023,5,"Kootenay-Columbia",7,2
20,2023,6,"Kootenay-Columbia",0,0
20,2023,7,"Kootenay-Columbia",8,1
20,2023,8,"Kootenay-Columbia",162,7
20,2023,9,"Kootenay-Columbia",0,0
20,2024,5,"Kootenay-Columbia",0,0
20,2024,6,"Kootenay-Columbia",0,0
20,2024,7,"Kootenay-Columbia",12376,12
20,2024,8,"Kootenay-Columbia",17,7
20,2024,9,"Kootenay-Columbia",3,2
22,2017,5,"Vernon",6,2
22,2017,6,"Vernon",38,4
22,2017,7,"Vernon",789,9
22,2017,8,"Vernon",2759,9
22,2017,9,"Vernon",37,1
22,2018,5,"Vernon",9,2
22,2018,6,"Vernon",0,0
22,2018,7,"Vernon",8071,40
22,2018,8,"Vernon",12185,41
22,2018,9,"Vernon",0,0
22,2019,5,"Vernon",22,1
22,2019,6,"Vernon",18,4
22,2019,7,"Vernon",0,0
22,2019,8,"Vernon",0,0
22,2019,9,"Vernon",5,1
22,2020,5,"Vernon",2,1
22,2020,6,"Vernon",0,0
22,2020,7,"Vernon",0,0
22,2020,8,"Vernon",1396,12
22,2020,9,"Vernon",27,1
22,2021,5,"Vernon",1,1
22,2021,6,"Vernon",1109,4
22,2021,7,"Vernon",151442,45
22,2021,8,"Vernon",1236,12
22,2021,9,"Vernon",9,2
22,2022,5,"Vernon",0,1
22,2022,6,"Vernon",0,0
22,2022,7,"Vernon",287,10
22,2022,8,"Vernon",1872,21
22,2022,9,"Vernon",429,4
22,2023,5,"Vernon",16,2
22,2023,6,"Vernon",41,2
22,2023,7,"Vernon",60665,20
22,2023,8,"Vernon",23,10
22,2023,9,"Vernon",611,1
22,2024,5,"Vernon",14,1
22,2024,6,"Vernon",0,0
22,2024,7,"Vernon",4497,30
22,2024,8,"Vernon",1046,12
