"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","GRADE","NUMBER_WRITERS","AVG_SCORE","MEDIAN_SCORE","STDEV_SCORE","pm25","burned_ha_75km","fire_count_75km","AVG_SCORE_Z"
19,"Revelstoke",2018,"07","73",397.5,440.5,177.1198,10.9126792907715,27508,120,0.176396482587357
20,"Kootenay-Columbia",2018,"07","144",220.6041,0,234.0114,16.2485754013062,36779,55,-0.587320960449831
22,"Vernon",2018,"07","568",410.6698,452,167.0276,11.6817746162415,26764,114,0.233254815546522
23,"Central Okanagan",2018,"07","1012",264.3178,350,228.6274,11.4885717391968,52917,73,-0.398594623719049
27,"Cariboo-Chilcotin",2018,"07","334",390.9496,409,134.8234,21.8169348716736,313638,139,0.148116263888841
28,"Quesnel",2018,"07","106",159.5472,0,200.2312,24.9274497032166,407068,90,-0.850923562589153
33,"Chilliwack",2018,"07","825",349.2171,410,200.7567,7.45417404174805,25548,14,-0.0320565846144281
34,"Abbotsford",2018,"07","1347",443.5942,466,147.0181,6.900634765625,6328,9,0.375400216211736
35,"Langley",2018,"07","1324",404.2332,442.5,181.6455,6.34212689399719,555,7,0.205465908659176
36,"Surrey",2018,"07","3404",297.7103,387,246.9884,7.08564748764038,555,7,-0.254428282291015
37,"Delta",2018,"07","877",362.6455,441,216.1498,7.14067115783691,415,10,0.0259182091036885
38,"Richmond",2018,"07","956",348.2885,470,273.25,7.22820310592651,413,9,-0.0360656544549634
39,"Vancouver",2018,"07","1866",270.9087,334,269.479,6.87643928527832,328,7,-0.370139553277542
40,"New Westminster",2018,"07","374",363.913,431,215.8324,8.44393920898438,130,6,0.0313904210602665
41,"Burnaby",2018,"07","1110",351.4848,459.5,256.6534,7.83513355255127,130,6,-0.0222661822050143
42,"Maple Ridge-Pitt Meadows",2018,"07","310",128.0862,0,212.8299,6.32425827980042,2255,13,-0.986750986940949
43,"Coquitlam",2018,"07","1758",369.6603,434,217.8828,5.41067371368408,970,11,0.0562033944551706
44,"North Vancouver",2018,"07","1016",433.8834,481.5,185.8186,4.82933602333069,320,10,0.33347551730212
45,"West Vancouver",2018,"07","480",519.8843,568,196.0762,5.50861539840698,327,6,0.704769523816103
46,"Sunshine Coast",2018,"07","223",416.3487,469,196.1808,6.53740539550781,5140,23,0.257772483775485
47,"qathet",2018,"07","145",348.8889,394.5,193.7748,7.57529215812683,6240,22,-0.0334735313317055
48,"Sea to Sky",2018,"07","349",425.8783,454,154.3877,7.38656139373779,6955,29,0.298914883034977
49,"Central Coast",2018,"07","14",236.7727,310,194.553,17.6007172584534,310505,23,-0.517515827320736
50,"Haida Gwaii",2018,"07","34",375.9744,414,163.0624,2.92772517204285,0,0,0.0834634287865548
51,"Boundary",2018,"07","98",397.9167,419.5,151.2139,12.3873544692993,57871,87,0.178195512743022
52,"Prince Rupert",2018,"07","133",378.6067,414.5,158.6695,2.79759068489075,0,0,0.0948279286155886
53,"Okanagan Similkameen",2018,"07","181",434.1762,452,141.4091,13.6062047958374,47640,46,0.334739630644042
54,"Bulkley Valley",2018,"07","137",455.8699,485.5,158.9903,10.7705777645111,276624,28,0.428398427111432
57,"Prince George",2018,"07","870",408.5365,441,147.7587,11.8408372879028,146483,127,0.22404466188422
58,"Nicola-Similkameen",2018,"07","149",417.3625,442.5,143.5012,9.62467088699341,50696,74,0.26214938987535
59,"Peace River South",2018,"07","217",428.9079,451,135.7024,9.5315938949585,741,27,0.31199465687612
60,"Peace River North",2018,"07","383",410.6024,422.5,145.5152,8.92743110656738,61443,82,0.232963827707568
61,"Greater Victoria",2018,"07","726",240.7015,286,244.2521,6.56635465621948,104,4,-0.500553913052488
62,"Sooke",2018,"07","217",119.376,0,200.4657,5.8392352104187,345,8,-1.02435576846693
63,"Saanich",2018,"07","351",296.8252,390,239.0781,6.39063911437988,306,7,-0.258249548407597
64,"Gulf Islands",2018,"07","70",246.3681,0,261.1928,6.19214363098145,306,7,-0.47608934794547
67,"Okanagan Skaha",2018,"07","422",431.6849,448,115.771,10.6810829162598,44269,53,0.323983873920237
68,"Nanaimo-Ladysmith",2018,"07","719",308.3933,390,222.0837,5.76721782684326,353,11,-0.208306278084212
69,"Qualicum",2018,"07","276",426.3642,453.5,155.3031,5.33141593933105,302,10,0.301012672218173
70,"Pacific Rim",2018,"07","265",416.1828,430,131.7699,6.80346655845642,3732,26,0.257056239228269
71,"Comox Valley",2018,"07","407",307.15,389,226.3486,6.66310815811157,1841,13,-0.213674010727694
72,"Campbell River",2018,"07","319",346.645,402.5,194.7031,7.8218900680542,38845,48,-0.0431611813588183
73,"Kamloops-Thompson",2018,"07","1021",441.6841,462,143.6968,11.3931482315063,44593,157,0.36715368993303
74,"Gold Trail",2018,"07","71",420.3467,418,132.8662,10.3572073459625,21986,74,0.275033157071264
75,"Mission",2018,"07","400",372.1892,397,148.9223,5.89046812057495,8641,17,0.0671214826737035
