"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","pm25"
20,"Kootenay-Columbia",2023,13.6168760299683
20,"Kootenay-Columbia",2024,8.34203147888184
22,"Vernon",2017,12.2126008033752
22,"Vernon",2018,11.6817746162415
22,"Vernon",2019,4.01458821296692
22,"Vernon",2020,6.28643374443054
22,"Vernon",2021,15.7710395812988
22,"Vernon",2022,4.9795193195343
22,"Vernon",2023,12.9176139831543
22,"Vernon",2024,8.05369272232056
23,"Central Okanagan",2017,12.4643644332886
23,"Central Okanagan",2018,11.4885717391968
23,"Central Okanagan",2019,4.36650524139404
23,"Central Okanagan",2020,6.58173656463623
23,"Central Okanagan",2021,14.0080027580261
23,"Central Okanagan",2022,5.74871883392334
23,"Central Okanagan",2023,13.8244333267212
23,"Central Okanagan",2024,7.09426536560059
27,"Cariboo-Chilcotin",2017,24.699343919754
27,"Cariboo-Chilcotin",2018,21.8169348716736
27,"Cariboo-Chilcotin",2019,3.98649845123291
27,"Cariboo-Chilcotin",2020,4.40085453987122
27,"Cariboo-Chilcotin",2021,7.22318887710571
27,"Cariboo-Chilcotin",2022,4.57907514572144
27,"Cariboo-Chilcotin",2023,16.4950023651123
27,"Cariboo-Chilcotin",2024,6.69597744941711
28,"Quesnel",2017,38.1033762931824
28,"Quesnel",2018,24.9274497032166
28,"Quesnel",2019,5.43289937973022
28,"Quesnel",2020,4.16501796245575
28,"Quesnel",2021,7.10367321968079
28,"Quesnel",2022,4.81094813346863
28,"Quesnel",2023,22.0506067276001
28,"Quesnel",2024,9.40504169464111
33,"Chilliwack",2017,7.18340225219727
33,"Chilliwack",2018,7.45417404174805
33,"Chilliwack",2019,4.75586996078491
33,"Chilliwack",2020,5.0623993396759
33,"Chilliwack",2021,5.7961790561676
33,"Chilliwack",2022,8.80363812446594
33,"Chilliwack",2023,7.76600456237793
33,"Chilliwack",2024,6.23011002540588
34,"Abbotsford",2017,7.37585678100586
34,"Abbotsford",2018,6.900634765625
34,"Abbotsford",2019,5.18266630172729
34,"Abbotsford",2020,6.85732436180115
34,"Abbotsford",2021,5.97451548576355
34,"Abbotsford",2022,5.95654945373535
34,"Abbotsford",2023,7.16691131591797
34,"Abbotsford",2024,6.5359227180481
35,"Langley",2017,7.6218918800354
35,"Langley",2018,6.34212689399719
35,"Langley",2019,4.98436107635498
35,"Langley",2020,6.85137181282043
35,"Langley",2021,6.03630766868591
35,"Langley",2022,5.26206102371216
35,"Langley",2023,6.82045812606812
35,"Langley",2024,6.15362157821655
36,"Surrey",2017,7.98386421203613
36,"Surrey",2018,7.08564748764038
36,"Surrey",2019,5.07139253616333
36,"Surrey",2020,7.21777720451355
36,"Surrey",2021,5.8761908531189
36,"Surrey",2022,5.00396366119385
36,"Surrey",2023,6.30403995513916
36,"Surrey",2024,6.17668352127075
37,"Delta",2017,9.32007856369018
37,"Delta",2018,7.14067115783691
37,"Delta",2019,4.97601532936096
37,"Delta",2020,7.22393598556519
37,"Delta",2021,6.01435718536377
37,"Delta",2022,4.98578834533691
37,"Delta",2023,6.22429113388062
37,"Delta",2024,6.78552484512329
38,"Richmond",2017,9.45453939437866
38,"Richmond",2018,7.22820310592651
38,"Richmond",2019,4.69740710258484
38,"Richmond",2020,7.56814336776733
38,"Richmond",2021,5.80526304244995
38,"Richmond",2022,5.1101185798645
38,"Richmond",2023,5.85374450683594
38,"Richmond",2024,6.97090349197388
39,"Vancouver",2017,8.98673791885376
39,"Vancouver",2018,6.87643928527832
39,"Vancouver",2019,4.45727648735046
39,"Vancouver",2020,7.4618408203125
39,"Vancouver",2021,5.40596942901611
39,"Vancouver",2022,5.1184531211853
39,"Vancouver",2023,5.75422782897949
39,"Vancouver",2024,6.7281361579895
40,"New Westminster",2017,7.04145193099976
40,"New Westminster",2018,8.44393920898438
40,"New Westminster",2019,5.64453163146973
40,"New Westminster",2020,7.73994045257568
40,"New Westminster",2021,5.79838089942932
40,"New Westminster",2022,6.20888338088989
40,"New Westminster",2023,7.38107500076294
40,"New Westminster",2024,6.38296270370483
41,"Burnaby",2017,7.13312187194824
41,"Burnaby",2018,7.83513355255127
41,"Burnaby",2019,5.51009101867676
41,"Burnaby",2020,7.12796688079834
41,"Burnaby",2021,5.69442882537842
41,"Burnaby",2022,5.9249062538147
41,"Burnaby",2023,7.10383682250977
41,"Burnaby",2024,6.25806407928467
42,"Maple-Ridge Pitt-Meadows",2017,6.58701343536377
42,"Maple-Ridge Pitt-Meadows",2018,6.32425827980042
42,"Maple-Ridge Pitt-Meadows",2019,5.35136880874634
42,"Maple-Ridge Pitt-Meadows",2020,5.68544611930847
42,"Maple-Ridge Pitt-Meadows",2021,4.79752912521362
42,"Maple-Ridge Pitt-Meadows",2022,5.66081786155701
42,"Maple-Ridge Pitt-Meadows",2023,7.49980592727661
42,"Maple-Ridge Pitt-Meadows",2024,6.30934820175171
43,"Coquitlam",2017,7.08574075698853
43,"Coquitlam",2018,5.41067371368408
43,"Coquitlam",2019,5.12537536621094
43,"Coquitlam",2020,5.71240839958191
43,"Coquitlam",2021,4.56555519104004
43,"Coquitlam",2022,5.1074547290802
43,"Coquitlam",2023,6.34602212905884
43,"Coquitlam",2024,6.40742330551147
44,"North Vancouver",2017,6.78213005065918
44,"North Vancouver",2018,4.82933602333069
44,"North Vancouver",2019,4.8647216796875
44,"North Vancouver",2020,5.15085787773132
44,"North Vancouver",2021,4.25302891731262
44,"North Vancouver",2022,4.92049655914307
44,"North Vancouver",2023,6.18119020462036
44,"North Vancouver",2024,6.12854166030884
45,"West Vancouver",2017,7.78619346618652
45,"West Vancouver",2018,5.50861539840698
45,"West Vancouver",2019,3.9551558971405
45,"West Vancouver",2020,6.30392985343933
45,"West Vancouver",2021,4.32778949737549
45,"West Vancouver",2022,4.62468099594116
45,"West Vancouver",2023,5.78670024871826
45,"West Vancouver",2024,5.96453537940979
46,"Sunshine Coast",2017,8.22202930450439
46,"Sunshine Coast",2018,6.53740539550781
46,"Sunshine Coast",2019,3.80462765693665
46,"Sunshine Coast",2020,5.44164276123047
46,"Sunshine Coast",2021,4.26075830459595
46,"Sunshine Coast",2022,4.09577641487122
46,"Sunshine Coast",2023,5.95538711547852
46,"Sunshine Coast",2024,4.91646838188171
47,"Powell RIver",2017,7.65931816101074
47,"Powell RIver",2018,7.57529215812683
47,"Powell RIver",2019,3.08707625865936
47,"Powell RIver",2020,4.62829284667969
47,"Powell RIver",2021,3.98186860084534
47,"Powell RIver",2022,3.74423117637634
47,"Powell RIver",2023,6.56984186172485
47,"Powell RIver",2024,4.51146459579468
48,"Sea to Sky",2017,7.28195652961731
48,"Sea to Sky",2018,7.38656139373779
48,"Sea to Sky",2019,4.17981147766113
48,"Sea to Sky",2020,5.13744540214539
48,"Sea to Sky",2021,4.79447431564331
48,"Sea to Sky",2022,5.02293920516968
48,"Sea to Sky",2023,9.89117460250855
48,"Sea to Sky",2024,5.00505838394165
49,"Central Coast",2017,6.5135283946991
49,"Central Coast",2018,17.6007172584534
49,"Central Coast",2019,3.46723103523254
49,"Central Coast",2020,3.40966792106628
49,"Central Coast",2021,3.09833183288574
49,"Central Coast",2022,2.98295669555664
49,"Central Coast",2023,7.690509557724
49,"Central Coast",2024,4.50530390739441
50,"Haida Gwaii",2017,3.18260130882263
50,"Haida Gwaii",2018,2.92772517204285
50,"Haida Gwaii",2019,3.99504899978638
50,"Haida Gwaii",2020,4.24059028625488
50,"Haida Gwaii",2021,2.95845508575439
50,"Haida Gwaii",2022,2.57779560089111
50,"Haida Gwaii",2023,3.47266235351562
50,"Haida Gwaii",2024,2.79957916736603
51,"Boundary",2017,13.028383731842
51,"Boundary",2018,12.3873544692993
51,"Boundary",2019,3.99091424942017
51,"Boundary",2020,7.10932335853577
51,"Boundary",2021,15.2406962871552
51,"Boundary",2022,5.49081420898438
51,"Boundary",2023,12.2455528259277
51,"Boundary",2024,7.22281007766724
52,"Prince Rupert",2017,3.09485187530518
52,"Prince Rupert",2018,2.79759068489075
52,"Prince Rupert",2019,3.25626420974731
52,"Prince Rupert",2020,3.49926948547363
52,"Prince Rupert",2021,2.69475197792053
52,"Prince Rupert",2022,2.40707120895386
52,"Prince Rupert",2023,3.88028545379639
52,"Prince Rupert",2024,3.27452096939087
53,"Okanagan-Similkameen",2017,22.8743590831757
53,"Okanagan-Similkameen",2018,13.6062047958374
53,"Okanagan-Similkameen",2019,3.79744386672974
53,"Okanagan-Similkameen",2020,7.41812391281128
53,"Okanagan-Similkameen",2021,15.9444799900055
53,"Okanagan-Similkameen",2022,9.34196925163269
53,"Okanagan-Similkameen",2023,25.1046629905701
53,"Okanagan-Similkameen",2024,7.32116255760193
54,"Bulkley Valley",2017,4.31452860832214
54,"Bulkley Valley",2018,10.7705777645111
54,"Bulkley Valley",2019,5.17784910202026
54,"Bulkley Valley",2020,3.04405665397644
54,"Bulkley Valley",2021,3.25132393836975
54,"Bulkley Valley",2022,3.70792746543884
54,"Bulkley Valley",2023,8.6259313583374
54,"Bulkley Valley",2024,5.80285320281982
57,"Prince George",2017,8.16443724632263
57,"Prince George",2018,11.8408372879028
57,"Prince George",2019,5.17503628730774
57,"Prince George",2020,4.05429217815399
57,"Prince George",2021,6.93570141792297
57,"Prince George",2022,4.95587177276611
57,"Prince George",2023,27.7876602172852
57,"Prince George",2024,9.86270475387573
58,"Nicola-Similkameen",2017,15.0864860057831
58,"Nicola-Similkameen",2018,9.62467088699341
58,"Nicola-Similkameen",2019,3.71680927276611
58,"Nicola-Similkameen",2020,5.66639928817749
58,"Nicola-Similkameen",2021,12.0246702671051
58,"Nicola-Similkameen",2022,6.9905357837677
58,"Nicola-Similkameen",2023,9.20546855926514
58,"Nicola-Similkameen",2024,6.63343229293823
59,"Peace River South",2017,5.14294891357422
59,"Peace River South",2018,9.5315938949585
59,"Peace River South",2019,6.63809552192688
59,"Peace River South",2020,3.15788865089417
59,"Peace River South",2021,5.90595555305481
59,"Peace River South",2022,6.0575674533844
59,"Peace River South",2023,40.3408996582031
59,"Peace River South",2024,10.4493045806885
60,"Peace River North",2017,3.93157362937927
60,"Peace River North",2018,8.92743110656738
60,"Peace River North",2019,7.04558081626892
60,"Peace River North",2020,2.96174895763397
60,"Peace River North",2021,6.48635911941528
60,"Peace River North",2022,6.63224911689758
60,"Peace River North",2023,78.8099227905273
60,"Peace River North",2024,15.6834568023682
61,"Victoria",2017,8.37495079040527
61,"Victoria",2018,6.56635465621948
61,"Victoria",2019,4.08874564170837
61,"Victoria",2020,6.84229426383972
61,"Victoria",2021,4.90326528549194
61,"Victoria",2022,3.79376921653748
61,"Victoria",2023,5.26599140167236
61,"Victoria",2024,5.60325136184692
62,"Sooke",2017,5.18103227615356
62,"Sooke",2018,5.8392352104187
62,"Sooke",2019,3.4563768863678
62,"Sooke",2020,5.84179840087891
62,"Sooke",2021,4.49830951690674
62,"Sooke",2022,3.15481648445129
62,"Sooke",2023,4.98529047966003
62,"Sooke",2024,4.12902808189392
63,"Saanich",2017,7.15465593338013
63,"Saanich",2018,6.39063911437988
63,"Saanich",2019,3.85704131126404
63,"Saanich",2020,6.75709671974182
63,"Saanich",2021,4.41692023277283
63,"Saanich",2022,4.03016214370728
63,"Saanich",2023,5.3712495803833
63,"Saanich",2024,5.13632969856262
64,"Gulf Islands",2017,7.74830913543701
64,"Gulf Islands",2018,6.19214363098145
64,"Gulf Islands",2019,4.03773159980774
64,"Gulf Islands",2020,6.75840516090393
64,"Gulf Islands",2021,4.44332914352417
64,"Gulf Islands",2022,4.1980749130249
64,"Gulf Islands",2023,5.35700168609619
64,"Gulf Islands",2024,5.70647234916687
67,"Okanagan-Skaha",2017,13.1425912857056
67,"Okanagan-Skaha",2018,10.6810829162598
67,"Okanagan-Skaha",2019,4.15499591827393
67,"Okanagan-Skaha",2020,7.50793719291687
67,"Okanagan-Skaha",2021,13.3231767177582
67,"Okanagan-Skaha",2022,7.91875472068787
67,"Okanagan-Skaha",2023,12.3358031272888
67,"Okanagan-Skaha",2024,6.71795144081116
68,"Nanaimo-Ladysmith",2017,7.02901539802551
68,"Nanaimo-Ladysmith",2018,5.76721782684326
68,"Nanaimo-Ladysmith",2019,3.56175084114075
68,"Nanaimo-Ladysmith",2020,5.49109053611755
68,"Nanaimo-Ladysmith",2021,4.26177315711975
68,"Nanaimo-Ladysmith",2022,3.5620285987854
68,"Nanaimo-Ladysmith",2023,4.73152589797974
68,"Nanaimo-Ladysmith",2024,4.50160975456238
69,"Qualicum",2017,7.13340711593628
69,"Qualicum",2018,5.33141593933105
69,"Qualicum",2019,3.52609553337097
69,"Qualicum",2020,5.35872554779053
69,"Qualicum",2021,4.23198227882385
69,"Qualicum",2022,3.47901787757874
69,"Qualicum",2023,4.54075651168823
69,"Qualicum",2024,4.53997468948364
70,"Pacific Rim",2017,4.65929574966431
70,"Pacific Rim",2018,6.80346655845642
70,"Pacific Rim",2019,3.37996120452881
70,"Pacific Rim",2020,4.32616782188416
70,"Pacific Rim",2021,3.56606168746948
70,"Pacific Rim",2022,3.13931250572205
70,"Pacific Rim",2023,4.68039088249207
70,"Pacific Rim",2024,3.62309708595276
71,"Comox Valley",2017,6.21878819465637
71,"Comox Valley",2018,6.66310815811157
71,"Comox Valley",2019,3.31703343391418
71,"Comox Valley",2020,4.16919522285461
71,"Comox Valley",2021,3.76225433349609
71,"Comox Valley",2022,3.41584982872009
71,"Comox Valley",2023,4.75474510192871
71,"Comox Valley",2024,4.00786929130554
72,"Campbell River",2017,7.59738283157349
72,"Campbell River",2018,7.8218900680542
72,"Campbell River",2019,2.86876411437988
72,"Campbell River",2020,3.97412047386169
72,"Campbell River",2021,3.58294682502747
72,"Campbell River",2022,3.6203887462616
72,"Campbell River",2023,7.33831443786621
72,"Campbell River",2024,4.00668578147888
73,"Kamloops-Thompson",2017,14.3830002784729
73,"Kamloops-Thompson",2018,11.3931482315063
73,"Kamloops-Thompson",2019,4.26193056106567
73,"Kamloops-Thompson",2020,5.45293869972229
73,"Kamloops-Thompson",2021,16.2005412578583
73,"Kamloops-Thompson",2022,5.1243109703064
73,"Kamloops-Thompson",2023,19.2408010482788
73,"Kamloops-Thompson",2024,10.0084654808044
74,"Gold Trail",2017,13.2089817047119
74,"Gold Trail",2018,10.3572073459625
74,"Gold Trail",2019,3.53583498001099
74,"Gold Trail",2020,5.00846428871155
74,"Gold Trail",2021,13.9555627346039
74,"Gold Trail",2022,7.39522957801819
74,"Gold Trail",2023,12.6307195663452
74,"Gold Trail",2024,7.00162963867187
75,"Mission",2017,6.52634077072144
75,"Mission",2018,5.89046812057495
75,"Mission",2019,5.2213719367981
75,"Mission",2020,5.77052311897278
75,"Mission",2021,5.15682182312012
75,"Mission",2022,5.96398038864136
75,"Mission",2023,7.22618789672852
75,"Mission",2024,6.20389757156372
78,"Fraser-Cascade",2017,8.42314310073852
78,"Fraser-Cascade",2018,7.58072080612183
78,"Fraser-Cascade",2019,4.67412056922913
78,"Fraser-Cascade",2020,5.37818746566772
78,"Fraser-Cascade",2021,7.94433813095093
78,"Fraser-Cascade",2022,9.09447994232178
78,"Fraser-Cascade",2023,8.86423215866089
78,"Fraser-Cascade",2024,6.0340904712677
79,"Cowichan",2017,4.94328417778015
79,"Cowichan",2018,5.89190812110901
79,"Cowichan",2019,3.42672433853149
79,"Cowichan",2020,5.2684467792511
79,"Cowichan",2021,3.8973904132843
79,"Cowichan",2022,3.21502151489258
79,"Cowichan",2023,4.51695790290833
79,"Cowichan",2024,3.60578002929687
81,"Fort Nelson",2017,4.51610283851624
81,"Fort Nelson",2018,12.6449465751648
81,"Fort Nelson",2019,7.0843638420105
81,"Fort Nelson",2020,3.20673456192017
81,"Fort Nelson",2021,5.6731662273407
81,"Fort Nelson",2022,8.24756326675415
81,"Fort Nelson",2023,115.535551452637
81,"Fort Nelson",2024,47.915832901001
82,"Coast Mountains",2017,3.70822887420654
82,"Coast Mountains",2018,6.04426651000977
82,"Coast Mountains",2019,4.30035929679871
82,"Coast Mountains",2020,2.87367806434631
82,"Coast Mountains",2021,2.84259734153748
82,"Coast Mountains",2022,3.11454205513
82,"Coast Mountains",2023,6.36900939941406
82,"Coast Mountains",2024,4.92552599906921
83,"Okanagan-Shuswap",2017,13.4093273162842
83,"Okanagan-Shuswap",2018,11.7504535675049
83,"Okanagan-Shuswap",2019,4.42969074249268
83,"Okanagan-Shuswap",2020,6.43250985145569
83,"Okanagan-Shuswap",2021,18.8847627639771
83,"Okanagan-Shuswap",2022,5.60066637992859
83,"Okanagan-Shuswap",2023,17.0334300994873
83,"Okanagan-Shuswap",2024,9.36350412368774
84,"Vancouver Island West",2017,4.4329674243927
84,"Vancouver Island West",2018,7.38992066383362
84,"Vancouver Island West",2019,3.43424263000488
84,"Vancouver Island West",2020,3.6105131149292
84,"Vancouver Island West",2021,3.30010356903076
84,"Vancouver Island West",2022,3.38205308914185
84,"Vancouver Island West",2023,4.53714909553528
84,"Vancouver Island West",2024,3.3555121421814
85,"Vancouver Island North",2017,6.16523199081421
85,"Vancouver Island North",2018,7.76472616195679
85,"Vancouver Island North",2019,3.28493962287903
85,"Vancouver Island North",2020,3.62041273117065
85,"Vancouver Island North",2021,3.16599497795105
85,"Vancouver Island North",2022,3.28006386756897
85,"Vancouver Island North",2023,5.84333906173706
85,"Vancouver Island North",2024,3.58146510124207
87,"Stikine",2017,2.9243688583374
87,"Stikine",2018,8.82557821273804
87,"Stikine",2019,6.63691244125366
87,"Stikine",2020,2.5269905090332
87,"Stikine",2021,3.53941216468811
87,"Stikine",2022,3.73261666297913
87,"Stikine",2023,14.6298558235168
87,"Stikine",2024,6.78350515365601
91,"Nechako Lakes",2017,4.86771893501282
91,"Nechako Lakes",2018,22.9446781158447
91,"Nechako Lakes",2019,4.64719920158386
91,"Nechako Lakes",2020,3.13463582992554
91,"Nechako Lakes",2021,4.7309681892395
91,"Nechako Lakes",2022,3.61224551200867
91,"Nechako Lakes",2023,22.1923387527466
91,"Nechako Lakes",2024,9.23189878463745
92,"Nisgaa",2017,3.017711353302
92,"Nisgaa",2018,4.02276287078857
92,"Nisgaa",2019,3.91974959373474
92,"Nisgaa",2020,2.78466057777405
92,"Nisgaa",2021,2.78550357818604
92,"Nisgaa",2022,3.06262254714966
92,"Nisgaa",2023,5.35394420623779
92,"Nisgaa",2024,4.45962948799133
