"SCHOOL_DISTRICT_NAME","SCHOOL_DISTRICT_NUMBER","year","month","pm25_mean"
"Delta",37,2017,4,5.71461296081543
"Richmond",38,2017,4,5.86793184280396
"Vancouver",39,2017,4,5.66130924224854
"New Westminster",40,2017,4,4.68717908859253
"Burnaby",41,2017,4,4.99349117279053
"Maple-Ridge Pitt-Meadows",42,2017,4,4.94613647460938
"Coquitlam",43,2017,4,5.85033321380615
"North Vancouver",44,2017,4,5.79329252243042
"West Vancouver",45,2017,4,5.51824712753296
"Sunshine Coast",46,2017,4,4.5120701789856
"Powell RIver",47,2017,4,3.50711846351624
"Sea to Sky",48,2017,4,3.72010850906372
"South East Kootenay",5,2017,4,3.2862401008606
"Haida Gwaii",50,2017,4,3.25134468078613
"Boundary",51,2017,4,3.79570412635803
"Prince Rupert",52,2017,4,3.10554456710815
"Bulkley Valley",54,2017,4,3.16484761238098
"Prince George",57,2017,4,3.60045409202576
"Nicola-Similkameen",58,2017,4,3.83627033233643
"Peace River South",59,2017,4,3.67371606826782
"Rocky Mountain",6,2017,4,2.78499293327332
"Peace River North",60,2017,4,3.29220652580261
"Victoria",61,2017,4,4.74457693099976
"Sooke",62,2017,4,2.91319894790649
"Saanich",63,2017,4,5.05696821212769
"Gulf Islands",64,2017,4,5.26873397827148
"Nanaimo-Ladysmith",68,2017,4,3.53513479232788
"Qualicum",69,2017,4,3.97621512413025
"Pacific Rim",70,2017,4,3.10851383209229
"Comox Valley",71,2017,4,2.77278733253479
"Campbell River",72,2017,4,2.90514063835144
"Kamloops-Thompson",73,2017,4,3.63293647766113
"Gold Trail",74,2017,4,3.35094857215881
"Mission",75,2017,4,4.98409557342529
"Fraser-Cascade",78,2017,4,3.86423397064209
"Cowichan",79,2017,4,2.51525521278381
"Kootenay Lake",8,2017,4,3.23069262504578
"Fort Nelson",81,2017,4,3.7534511089325
"Coast Mountains",82,2017,4,2.95837783813477
"Okanagan-Shuswap",83,2017,4,4.19014310836792
"Vancouver Island West",84,2017,4,2.72385382652283
"Vancouver Island North",85,2017,4,2.81279635429382
"Stikine",87,2017,4,2.09154200553894
"Nechako Lakes",91,2017,4,3.46193194389343
"Nisgaa",92,2017,4,2.96581840515137
"Central Coast",49,2017,4,2.80122661590576
"Okanagan-Skaha",67,2017,4,4.24595022201538
"Okanagan-Similkameen",53,2017,4,3.46186828613281
"Arrow Lakes",10,2017,5,4.27201175689697
"Revelstoke",19,2017,5,3.86716246604919
"Kootenay-Columbia",20,2017,5,4.66417121887207
"Vernon",22,2017,5,4.83903217315674
"Central Okanagan",23,2017,5,5.4157395362854
"Cariboo-Chilcotin",27,2017,5,4.08522319793701
"Quesnel",28,2017,5,4.48582172393799
"Chilliwack",33,2017,5,5.45481300354004
"Abbotsford",34,2017,5,6.11283016204834
"Langley",35,2017,5,6.52831602096558
"Surrey",36,2017,5,6.10462141036987
"Delta",37,2017,5,5.82508420944214
"Richmond",38,2017,5,6.26380395889282
"Vancouver",39,2017,5,6.00993490219116
"New Westminster",40,2017,5,5.87351322174072
"Burnaby",41,2017,5,6.06817770004272
"Maple-Ridge Pitt-Meadows",42,2017,5,4.69825124740601
"Coquitlam",43,2017,5,5.91512060165405
"North Vancouver",44,2017,5,5.98074674606323
"West Vancouver",45,2017,5,5.47527694702148
"Sunshine Coast",46,2017,5,4.65373134613037
"Powell RIver",47,2017,5,4.11374998092651
"Sea to Sky",48,2017,5,3.3664448261261
"South East Kootenay",5,2017,5,3.91880750656128
"Haida Gwaii",50,2017,5,3.48034954071045
"Boundary",51,2017,5,4.58985948562622
"Prince Rupert",52,2017,5,2.93061590194702
"Bulkley Valley",54,2017,5,3.04966282844543
"Prince George",57,2017,5,4.20778322219849
"Nicola-Similkameen",58,2017,5,4.75836420059204
"Peace River South",59,2017,5,4.48315000534058
"Rocky Mountain",6,2017,5,3.32810473442078
"Peace River North",60,2017,5,4.19612121582031
"Victoria",61,2017,5,5.41120004653931
"Sooke",62,2017,5,3.70416402816772
"Saanich",63,2017,5,4.78905057907104
"Gulf Islands",64,2017,5,4.87729597091675
"Nanaimo-Ladysmith",68,2017,5,3.8048632144928
"Qualicum",69,2017,5,4.37231969833374
"Pacific Rim",70,2017,5,3.03321981430054
"Comox Valley",71,2017,5,3.73761868476868
"Campbell River",72,2017,5,3.59970903396606
"Kamloops-Thompson",73,2017,5,4.69816637039185
"Gold Trail",74,2017,5,4.44659185409546
"Mission",75,2017,5,5.45889091491699
"Fraser-Cascade",78,2017,5,4.69852209091187
"Cowichan",79,2017,5,3.00475811958313
"Kootenay Lake",8,2017,5,3.98531055450439
"Fort Nelson",81,2017,5,4.40759420394897
"Coast Mountains",82,2017,5,2.98740196228027
"Okanagan-Shuswap",83,2017,5,4.97250986099243
"Vancouver Island West",84,2017,5,2.76440739631653
"Vancouver Island North",85,2017,5,3.13428449630737
"Stikine",87,2017,5,2.07318377494812
"Nechako Lakes",91,2017,5,3.32207202911377
"Nisgaa",92,2017,5,2.89324712753296
"Central Coast",49,2017,5,3.0065279006958
"Okanagan-Skaha",67,2017,5,4.72092914581299
"Okanagan-Similkameen",53,2017,5,4.02201175689697
"Arrow Lakes",10,2017,6,3.7375316619873
"Revelstoke",19,2017,6,3.60615682601929
"Kootenay-Columbia",20,2017,6,4.09797859191895
"Vernon",22,2017,6,4.27540922164917
"Central Okanagan",23,2017,6,4.79612874984741
"Cariboo-Chilcotin",27,2017,6,3.62499356269836
"Quesnel",28,2017,6,4.31075811386108
"Chilliwack",33,2017,6,3.32571649551392
"Abbotsford",34,2017,6,4.55146455764771
"Langley",35,2017,6,4.78451347351074
"Surrey",36,2017,6,4.7527027130127
"Delta",37,2017,6,5.18427419662476
"Richmond",38,2017,6,5.47362375259399
"Vancouver",39,2017,6,5.26162719726562
"New Westminster",40,2017,6,4.25808525085449
"Burnaby",41,2017,6,4.05942296981812
"Maple-Ridge Pitt-Meadows",42,2017,6,3.97525310516357
"Coquitlam",43,2017,6,4.17562294006348
"North Vancouver",44,2017,6,4.19408369064331
"West Vancouver",45,2017,6,4.65549993515015
"Sunshine Coast",46,2017,6,4.14537906646729
